nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 7:16:44 PM 172.29.25.158 GET /
 HTTP  2/18/2026 7:16:44 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 7:16:45 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 7:16:45 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:09 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 7:19:09 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 7:19:09 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 7:19:09 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 7:19:10 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 7:19:11 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/19/2026 12:21:15 AM 172.16.210.69 GET /
 HTTP  2/19/2026 12:21:15 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:21:15 AM 172.16.210.69 GET /assets/index-Db0uFkua.js
 HTTP  2/19/2026 12:21:15 AM 172.16.210.69 Returned 304 in 0 ms
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 GET /dashboard
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 GET /assets/index-Db0uFkua.js
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 GET /vite.svg
 HTTP  2/19/2026 12:21:19 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:27:03 AM 172.16.210.69 GET /
 HTTP  2/19/2026 12:27:03 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:27:03 AM 172.16.210.69 GET /assets/index-Db0uFkua.js
 HTTP  2/19/2026 12:27:03 AM 172.16.210.69 Returned 304 in 0 ms
 HTTP  2/19/2026 12:30:52 AM 172.16.210.69 GET /
 HTTP  2/19/2026 12:30:52 AM 172.16.210.69 Returned 200 in 1 ms
 HTTP  2/19/2026 12:30:52 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 12:30:52 AM 172.16.210.69 Returned 304 in 3 ms
 HTTP  2/19/2026 12:55:07 AM 172.16.210.69 GET /dashboard
 HTTP  2/19/2026 12:55:07 AM 172.16.210.69 Returned 200 in 1 ms
 HTTP  2/19/2026 12:55:08 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 12:55:08 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:55:08 AM 172.16.210.69 GET /vite.svg
 HTTP  2/19/2026 12:55:08 AM 172.16.210.69 Returned 304 in 3 ms
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 GET /dashboard
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 Returned 304 in 2 ms
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 GET /vite.svg
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 Returned 304 in 0 ms
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 GET /login
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 Returned 200 in 1 ms
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 12:57:53 AM 172.16.210.69 Returned 304 in 2 ms
 HTTP  2/19/2026 12:58:02 AM 172.16.210.69 GET /login
 HTTP  2/19/2026 12:58:02 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 12:58:02 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 12:58:02 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 1:09:02 AM 172.16.210.69 GET /dashboard
 HTTP  2/19/2026 1:09:02 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 1:09:02 AM 172.16.210.69 GET /assets/index-D2MPmlIE.js
 HTTP  2/19/2026 1:09:02 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 1:09:03 AM 172.16.210.69 GET /vite.svg
 HTTP  2/19/2026 1:09:03 AM 172.16.210.69 Returned 304 in 1 ms
 HTTP  2/19/2026 1:39:00 AM 172.16.210.28 GET /
